"City","Slug","Action","Src","Folder","File","NewName","Caption"
"chiang-mai","daruma-izakaya","dup-skip","D:\Google Photos\Food 2025\SEA25-0737.jpg","Food 2025","SEA25-0737.jpg","","Chiang Mai - Daruma Izakaya"
"chiang-mai","dao-chinese-restaurant","dup-skip","D:\Google Photos\Food 2025\SEA25-0752.jpg","Food 2025","SEA25-0752.jpg","","Chiang Mai - Dao Chinese Restaurant"
"chiang-mai","lookbua","dup-skip","D:\Google Photos\Food 2025\SEA25-0763.jpg","Food 2025","SEA25-0763.jpg","","Chiang Mai - Lookbua"
"chiang-mai","lookbua","dup-skip","D:\Google Photos\Food 2025\SEA25-0771.jpg","Food 2025","SEA25-0771.jpg","","Chiang Mai - Lookbua"
"chiang-mai","ochatee","dup-skip","D:\Google Photos\Food 2025\SEA25-0767.jpg","Food 2025","SEA25-0767.jpg","","Chiang Mai - Ochatee"
"chiang-mai","ochatee","dup-skip","D:\Google Photos\Food 2025\SEA25-0768.jpg","Food 2025","SEA25-0768.jpg","","Chiang Mai - Ochatee"
"chiang-mai","next-level-som-tum","dup-skip","D:\Google Photos\Food 2025\SEA25-0806.jpg","Food 2025","SEA25-0806.jpg","","Chiang Mai - Next-Level Som Tum"
"bangkok","praram-9-kaiyang","import","D:\Google Photos\Food 2026\BKK26-0009.jpg","Food 2026","BKK26-0009.jpg","praram-9-kaiyang-3.jpg","Bangkok - Praram 9 Kaiyang"
"bangkok","praram-9-kaiyang","dup-skip","D:\Google Photos\Food 2026\BKK26-0010.jpg","Food 2026","BKK26-0010.jpg","","Bangkok - Praram 9 Kaiyang"
"bangkok","praram-9-kaiyang","dup-skip","D:\Google Photos\Food 2026\BKK26-0011.jpg","Food 2026","BKK26-0011.jpg","","Bangkok - Praram 9 Kaiyang"
"bangkok","praram-9-kaiyang","dup-skip","D:\Google Photos\more restos 2020-2026\BKK26-0009.jpg","more restos 2020-2026","BKK26-0009.jpg","","Bangkok - Praram 9 Kaiyang"
"chiang-mai","by-hand-pizza","import","D:\Google Photos\more restos 2020-2026\TH24-0122.jpg","more restos 2020-2026","TH24-0122.jpg","by-hand-pizza-2.jpg","Chiang Mai - By Hand Pizza"
"chiang-mai","akha-ama","import","D:\Google Photos\more restos 2020-2026\TH24-0206.jpg","more restos 2020-2026","TH24-0206.jpg","akha-ama-1.jpg","Chiang Mai - Akha Ama"
